Vs;Vout;
0;-3.48661e-35;
0.1;0.0819672;
0.2;0.163934;
0.3;0.245902;
0.4;0.327869;
0.5;0.409836;
0.6;0.491803;
0.7;0.57377;
0.8;0.655738;
0.9;0.737705;
1;0.819672;
1.1;0.901639;
1.2;0.983607;
1.3;1.06557;
1.4;1.14754;
1.5;1.22951;
1.6;1.31148;
1.7;1.39344;
1.8;1.47541;
1.9;1.55738;
2;1.63934;
2.1;1.72131;
2.2;1.80328;
2.3;1.88525;
2.4;1.96721;
2.5;2.04918;
2.6;2.13115;
2.7;2.21311;
2.8;2.29508;
2.9;2.37705;
3;2.45902;
3.1;2.54098;
3.2;2.62295;
3.3;2.70492;
3.4;2.78689;
3.5;2.86885;
3.6;2.95082;
3.7;3.03279;
3.8;3.11475;
3.9;3.19672;
4;3.27869;
4.1;3.36066;
4.2;3.44262;
4.3;3.52459;
4.4;3.60656;
4.5;3.68852;
4.6;3.77049;
4.7;3.85246;
4.8;3.93443;
4.9;4.01639;
5;4.09836;
5.1;4.18033;
5.2;4.2623;
5.3;4.34426;
5.4;4.42623;
5.5;4.5082;
5.6;4.59016;
5.7;4.67213;
5.8;4.7541;
5.9;4.83603;
6;4.91753;
6.1;4.99407;
6.2;5.04825;
6.3;5.0778;
6.4;5.0956;
6.5;5.10799;
6.6;5.11746;
6.7;5.12509;
6.8;5.13153;
6.9;5.13711;
7;5.14204;
7.1;5.14649;
7.2;5.15053;
7.3;5.15426;
7.4;5.15772;
7.5;5.16095;
7.6;5.164;
7.7;5.16688;
7.8;5.16962;
7.9;5.17223;
8;5.17472;
