Vs;ID;
0;-5.08236e-38;
0.1;1.38662e-13;
0.2;2.30026e-11;
0.3;1.08987e-09;
0.4;5.20187e-08;
0.5;2.43426e-06;
0.6;6.70483e-05;
0.7;0.000333193;
0.8;0.000700377;
0.9;0.00110117;
1;0.0015184;
1.1;0.00194399;
1.2;0.00237502;
1.3;0.00280981;
1.4;0.00324735;
1.5;0.00368697;
1.6;0.00412822;
1.7;0.0045708;
1.8;0.00501445;
1.9;0.00545901;
2;0.00590434;
2.1;0.00635032;
2.2;0.00679688;
2.3;0.00724393;
2.4;0.00769143;
2.5;0.00813932;
2.6;0.00858757;
2.7;0.00903612;
2.8;0.00948497;
2.9;0.00993408;
3;0.0103834;
3.1;0.010833;
3.2;0.0112827;
3.3;0.0117327;
3.4;0.0121828;
3.5;0.0126331;
3.6;0.0130835;
3.7;0.0135341;
3.8;0.0139848;
3.9;0.0144355;
4;0.0148865;
4.1;0.0153375;
4.2;0.0157886;
4.3;0.0162399;
4.4;0.0166912;
4.5;0.0171426;
4.6;0.0175941;
4.7;0.0180457;
4.8;0.0184973;
4.9;0.018949;
5;0.0194008;
