Vs;VD;
0;1.11812e-35;
0.1;0.1;
0.2;0.2;
0.3;0.3;
0.4;0.399989;
0.5;0.499464;
0.6;0.585249;
0.7;0.626698;
0.8;0.645917;
0.9;0.657743;
1;0.665953;
1.1;0.672323;
1.2;0.677496;
1.3;0.681842;
1.4;0.685584;
1.5;0.688867;
1.6;0.691791;
1.7;0.694425;
1.8;0.696821;
1.9;0.699018;
2;0.701046;
2.1;0.702929;
2.2;0.704687;
2.3;0.706335;
2.4;0.707885;
2.5;0.709349;
2.6;0.710736;
2.7;0.712053;
2.8;0.713306;
2.9;0.714503;
3;0.715647;
3.1;0.716744;
3.2;0.717796;
3.3;0.718807;
3.4;0.719781;
3.5;0.72072;
3.6;0.721626;
3.7;0.722501;
3.8;0.723349;
3.9;0.724182;
4;0.724977;
4.1;0.725748;
4.2;0.726497;
4.3;0.727226;
4.4;0.727934;
4.5;0.728624;
4.6;0.729296;
4.7;0.729951;
4.8;0.73059;
4.9;0.731213;
5;0.731823;
