v-sweep;V(Net-_D1-K_);
0;-1.11812e-35;
0.1;3.05057e-11;
0.2;5.06056e-09;
0.3;2.3977e-07;
0.4;1.14441e-05;
0.5;0.000535538;
0.6;0.0147506;
0.7;0.0733024;
0.8;0.154083;
0.9;0.242257;
1;0.334047;
1.1;0.427677;
1.2;0.522504;
1.3;0.618158;
1.4;0.714416;
1.5;0.811133;
1.6;0.908209;
1.7;1.00558;
1.8;1.10318;
1.9;1.20098;
2;1.29895;
2.1;1.39707;
2.2;1.49531;
2.3;1.59367;
2.4;1.69211;
2.5;1.79065;
2.6;1.88926;
2.7;1.98795;
2.8;2.08669;
2.9;2.1855;
3;2.28435;
3.1;2.38326;
3.2;2.4822;
3.3;2.58119;
3.4;2.68022;
3.5;2.77928;
3.6;2.87837;
3.7;2.9775;
3.8;3.07665;
3.9;3.17582;
4;3.27502;
4.1;3.37425;
4.2;3.4735;
4.3;3.57277;
4.4;3.67207;
4.5;3.77138;
4.6;3.8707;
4.7;3.97005;
4.8;4.06941;
4.9;4.16879;
5;4.26818;
