Vs,Vd,VR Teo,VR Prac,ID
0,0,0,0,0
0.1,0.1465,0,0,0
0.2,0.2149,0,0,0
0.3,0.3102,0,0.0003,0
0.4,0.417,0,0.0057,0.01
0.5,0.49,0.01,0.0294,0.13
0.6,0.545,0.055,0.0917,0.53
0.7,0.57,0.13,0.1497,0.73
0.8,0.588,0.212,0.2156,1.02
0.9,0.613,0.287,0.358,1.33
1,0.621,0.379,0.42,1.87
1.1,0.628,0.472,0.47,2.12
1.2,0.639,0.561,0.602,2.62
1.3,0.645,0.655,0.688,3.12
1.4,0.651,0.749,0.778,3.56
1.5,0.659,0.841,0.915,3.92
1.6,0.662,0.938,0.971,4.16
1.7,0.667,1.033,1.08,4.78
1.8,0.67,1.13,1.137,5.13
1.9,0.674,1.226,1.25,5.51
2,0.677,1.323,1.326,5.98
2.1,0.68,1.42,1.418,6.29
2.2,0.683,1.517,1.52,6.77
2.3,0.686,1.614,1.622,7.18
2.4,0.689,1.711,1.74,7.68
2.5,0.691,1.809,1.829,8.06
2.6,0.695,1.905,1.979,8.41
2.7,0.697,2.003,2.084,9.14
2.8,0.698,2.102,2.138,9.65
2.9,0.7,2.2,2.22,9.94
3,0.702,2.298,2.315,10.34
3.1,0.702,2.398,,10.64
3.2,0.703,2.497,,11.04
3.3,0.705,2.595,,11.43
3.4,0.707,2.693,,12.04
3.5,0.708,2.792,,12.31
3.6,0.71,2.89,,12.73
3.7,0.712,2.988,,13.39
3.8,0.713,3.087,,13.79
3.9,0.714,3.186,,14.13
4,0.716,3.284,,14.5
4.1,0.717,3.383,,15.09
4.2,0.719,3.481,,15.51
4.3,0.72,3.58,,15.92
4.4,0.721,3.679,,16.33
4.5,0.722,3.778,,16.71
4.6,0.724,3.876,,17.44
4.7,0.724,3.976,,17.8
4.8,0.725,4.075,,18.22
4.9,0.727,4.173,,18.84
5,0.728,4.272,,19.3
